epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1222.92,3.10581,3.92563,3.843,0.8401,0.06481,0.05588,0.01837,2.64803,8.63463,3.32727,0.000369052,0.000369052,0.000369052
2,2356.37,2.24543,3.01194,2.74057,0.18127,0.34885,0.16334,0.07102,2.02155,3.34153,2.73838,0.000732065,0.000732065,0.000732065
3,3461.02,1.78031,2.29236,2.24391,0.22547,0.4068,0.29427,0.15529,1.7666,2.55155,2.35773,0.00108775,0.00108775,0.00108775
4,4549.5,1.57913,1.92109,2.00622,0.35054,0.44371,0.37311,0.18028,1.68288,2.16394,2.31213,0.001078,0.001078,0.001078
5,5660.14,1.4704,1.71847,1.87984,0.43256,0.50747,0.44774,0.27075,1.47516,1.77896,2.01019,0.001067,0.001067,0.001067
6,6720.03,1.38148,1.55375,1.78616,0.3878,0.41386,0.39268,0.23397,1.50557,2.15383,2.01336,0.00105601,0.00105601,0.00105601
7,7779.42,1.31997,1.45275,1.72343,0.44466,0.52519,0.52083,0.31373,1.41702,1.74137,1.94513,0.00104501,0.00104501,0.00104501
8,8837.98,1.28416,1.36626,1.68588,0.52243,0.47369,0.51074,0.29155,1.41478,1.71414,1.85851,0.00103401,0.00103401,0.00103401
9,9899.99,1.24658,1.31216,1.64698,0.56196,0.52706,0.55896,0.36736,1.43529,1.5522,1.91134,0.00102301,0.00102301,0.00102301
10,10959,1.21145,1.25951,1.60594,0.7455,0.5263,0.58554,0.38664,1.31584,1.49039,1.81595,0.00101201,0.00101201,0.00101201
11,12018.9,1.18199,1.2044,1.57898,0.62067,0.52743,0.60545,0.40529,1.22822,1.43121,1.69813,0.00100101,0.00100101,0.00100101
12,13096.2,1.1544,1.1705,1.55412,0.49062,0.5367,0.5617,0.37418,1.35319,1.52056,1.81272,0.000990012,0.000990012,0.000990012
13,14157.2,1.12801,1.1359,1.52695,0.7273,0.52907,0.57808,0.40702,1.21298,1.34312,1.6584,0.000979013,0.000979013,0.000979013
14,15225.5,1.11729,1.09778,1.5125,0.56705,0.56979,0.5819,0.40122,1.19642,1.33519,1.66613,0.000968014,0.000968014,0.000968014
15,16316.6,1.10645,1.095,1.50748,0.8151,0.58073,0.58516,0.40192,1.22547,1.20337,1.66903,0.000957015,0.000957015,0.000957015
16,17407.7,1.08523,1.05193,1.48474,0.83073,0.57426,0.61914,0.41001,1.27766,1.18352,1.72614,0.000946016,0.000946016,0.000946016
17,18493.7,1.06666,1.02203,1.46595,0.7132,0.5412,0.57707,0.39244,1.24349,1.35368,1.69181,0.000935018,0.000935018,0.000935018
18,19563.7,1.05191,1.00125,1.4543,0.83013,0.57224,0.60579,0.41716,1.27782,1.18436,1.73226,0.000924019,0.000924019,0.000924019
19,21716.4,1.0393,1.00656,1.45312,0.71743,0.48832,0.54177,0.36269,1.25236,1.48032,1.67716,0.00091302,0.00091302,0.00091302
20,22868.8,1.03049,0.98113,1.44199,0.73726,0.50802,0.59288,0.41309,1.15372,1.39205,1.60653,0.000902021,0.000902021,0.000902021
21,24047.6,1.01434,0.94455,1.42433,0.86856,0.59564,0.64962,0.45745,1.14925,1.03842,1.58995,0.000891022,0.000891022,0.000891022
22,25238,1.01135,0.94765,1.42476,0.76872,0.58501,0.62279,0.43985,1.13198,1.18865,1.59595,0.000880023,0.000880023,0.000880023
23,26437,0.99588,0.92515,1.40911,0.85642,0.59254,0.63766,0.42761,1.19907,1.02807,1.64308,0.000869024,0.000869024,0.000869024
24,27625.3,0.99588,0.93087,1.40946,0.85438,0.59516,0.6525,0.44732,1.17453,1.01135,1.59772,0.000858025,0.000858025,0.000858025
25,28808.9,0.96671,0.90276,1.38258,0.85906,0.59171,0.6434,0.45499,1.13696,1.00861,1.5763,0.000847026,0.000847026,0.000847026
26,30006.8,0.97491,0.8995,1.38972,0.77554,0.56591,0.61721,0.43766,1.1242,1.15618,1.56244,0.000836027,0.000836027,0.000836027
27,31202.9,0.97667,0.89895,1.38095,0.51941,0.55905,0.55204,0.39736,1.15433,1.27573,1.61507,0.000825029,0.000825029,0.000825029
28,32392.3,0.94839,0.87676,1.36967,0.82413,0.56204,0.63726,0.44159,1.1662,1.05309,1.60252,0.00081403,0.00081403,0.00081403
29,33580.2,0.94905,0.87079,1.36058,0.77503,0.57123,0.61118,0.43076,1.1395,1.09063,1.57063,0.000803031,0.000803031,0.000803031
30,34761.5,0.93646,0.84812,1.3597,0.7681,0.59118,0.62049,0.44426,1.10945,1.09929,1.55619,0.000792032,0.000792032,0.000792032
31,35957.2,0.92484,0.83398,1.34365,0.8472,0.59612,0.64665,0.46572,1.07188,0.96239,1.52325,0.000781033,0.000781033,0.000781033
32,37145.5,0.92208,0.83811,1.34239,0.89282,0.55649,0.63579,0.46994,1.07857,0.96386,1.53466,0.000770034,0.000770034,0.000770034
33,38324.2,0.91533,0.82948,1.34031,0.80652,0.60472,0.63752,0.46268,1.0367,1.0061,1.48439,0.000759035,0.000759035,0.000759035
34,39558.1,0.91549,0.8201,1.33578,0.86525,0.57427,0.64904,0.48061,1.03454,0.94987,1.47451,0.000748036,0.000748036,0.000748036
35,40807,0.90253,0.81996,1.33308,0.80317,0.58521,0.63434,0.45875,1.09655,1.00366,1.53643,0.000737037,0.000737037,0.000737037
36,42030.1,0.8953,0.80316,1.32808,0.86121,0.58534,0.6496,0.46251,1.07604,0.9644,1.50621,0.000726038,0.000726038,0.000726038
37,43220.3,0.89107,0.80757,1.32075,0.83112,0.60569,0.64306,0.46123,1.05125,0.9081,1.48831,0.00071504,0.00071504,0.00071504
